,t,stimstate,Qm,Vm,"('m', 'Ih')","('m', 'Im')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'SKv31')",Cm,iax
395,0.009849999999999975,1.0,-0.0007772153119307461,-57.56603818963545,4.621731639590394e-06,1.7503336540498182e-05,0.004297766552017434,0.0015029981675203905,9.21346956769588e-06,0.013501281942843182,1.6797103946622654e-14
396,0.009874999999999974,1.0,-0.000777280714102671,-57.570701140345,4.634653905745827e-06,1.7545150164431276e-05,0.0043078933751242695,0.0015070408641422541,9.235515726989176e-06,0.01350132443598051,1.6834428951493066e-14
397,0.009899999999999971,1.0,-0.0007773460989295896,-57.57536285441923,4.647582148736765e-06,1.758695126025258e-05,0.004318016398975016,0.0015110846398441182,9.257555473766842e-06,0.013501366910967264,1.6871729696092774e-14
398,0.00992499999999997,1.0,-0.0007774114664160435,-57.58002333218194,4.660516366971823e-06,1.762873983103279e-05,0.004328135624487208,0.0015151294943164366,9.279588809686965e-06,0.01350140936781354,1.6909006187433152e-14
399,0.00994999999999997,1.0,-0.0007774768165665729,-57.584682573956805,4.673456558857442e-06,1.7670515879843013e-05,0.004338251052578294,0.0015191754272498277,9.301615736406956e-06,0.01350145180652943,1.6946258432530852e-14
400,0.009974999999999968,1.0,-0.0007775421493857169,-57.58934058006746,4.686402722803256e-06,1.7712279409753773e-05,0.004348362684165628,0.0015232224383349257,9.323636255584021e-06,0.01350149422712501,1.6983486438407278e-14
401,0.009999999999999967,1.0,-0.0007776074648780133,-57.59399735083745,4.6993548572180656e-06,1.7754030423834018e-05,0.0043584705201664695,0.0015272705272624794,9.345650368875008e-06,0.01350153662961035,1.70206902120893e-14
402,0.010024999999999964,0.0,-0.0007777232602759759,-44.140336018611706,4.70096474519967e-06,1.7787107156324244e-05,0.004366661722987233,0.001527715570477036,9.364202407947134e-06,0.01761933257481434,1.0974722038605108e-14
403,0.010049999999999963,0.0,-0.0007778390358824491,-44.145657649910994,4.70257527140499e-06,1.7820166064478008e-05,0.00437484749909202,0.001528160891472098,9.382744982614075e-06,0.017619831197237073,1.1021658718776413e-14
404,0.010074999999999962,0.0,-0.0007779547917007076,-44.15097837164901,4.704186435724452e-06,1.7853207151341392e-05,0.00438302784948358,0.001528606490199047,9.401278094543694e-06,0.01762032961426425,1.1068577645821818e-14
405,0.010099999999999961,0.0,-0.000778070527734025,-44.15629818397624,4.70579823804851e-06,1.788623041997495e-05,0.00439120277516464,0.0015290523666092626,9.419801745403566e-06,0.017620827826015015,1.1115478817693982e-14
406,0.010124999999999959,0.0,-0.0007781862439856748,-44.16161708704314,4.707410678267644e-06,1.7919235873407705e-05,0.004399372277137879,0.0015294985206541435,9.438315936860983e-06,0.017621325832608423,1.1162362232354378e-14
407,0.010149999999999958,0.0,-0.0007783019404589301,-44.16693508100016,4.709023756272217e-06,1.795222351468317e-05,0.004407536356405983,0.0015299449522850925,9.45682067058312e-06,0.01762182363416342,1.1209227887773584e-14
408,0.010174999999999957,0.0,-0.0007784176171570633,-44.17225216599771,4.710637471952762e-06,1.798519334682871e-05,0.004415695013971575,0.0015303916614535244,9.475315948236698e-06,0.01762232123079888,1.1256075781931376e-14
409,0.010199999999999956,0.0,-0.0007785332740833462,-44.177568342186184,4.712251825199693e-06,1.8018145372901433e-05,0.004423848250837266,0.001530838648110866,9.493801771488322e-06,0.017622818622633575,1.1302905912816346e-14
410,0.010224999999999953,0.0,-0.0007786489112410502,-44.182883609715944,4.713866815903734e-06,1.805107959594229e-05,0.0044319960680056425,0.0015312859122085412,9.512278142004144e-06,0.017623315809786193,1.1349718278426587e-14
411,0.010249999999999952,0.0,-0.0007787645286334463,-44.188197968737335,4.71548244395521e-06,1.808399601899139e-05,0.004440138466479259,0.001531733453697993,9.530745061450367e-06,0.01762381279237532,1.139651287676867e-14
412,0.01027499999999995,0.0,-0.0007788801262638049,-44.19351141940068,4.717098709244898e-06,1.811689464507275e-05,0.0044482754472606415,0.0015321812725306758,9.54920253149274e-06,0.01762430957051947,1.144328970585858e-14
413,0.01029999999999995,0.0,-0.000778995704135396,-44.19882396185628,4.718715611663175e-06,1.8149775477240025e-05,0.004456407011352308,0.001532629368658042,9.567650553796897e-06,0.01762480614433705,1.1490048763721115e-14
414,0.010324999999999949,0.0,-0.0007791112622514889,-44.20413559625441,4.720333151100727e-06,1.8182638518530777e-05,0.004464533159756728,0.0015330777420315697,9.586089130028019e-06,0.017625302513946367,1.1536790048390174e-14
415,0.010349999999999946,0.0,-0.0007792268006153528,-44.209446322745336,4.721951327448264e-06,1.8215483771981724e-05,0.004472653893476345,0.0015335263926027274,9.604518261851171e-06,0.017625798679465662,1.1583513557908692e-14
416,0.010374999999999945,0.0,-0.0007793423192302559,-44.21475614147928,4.723570140596243e-06,1.824831124062874e-05,0.004480769213513589,0.0015339753203230022,9.622937950931298e-06,0.01762629464101307,1.1630219290328565e-14
