,t,stimstate,Qm,Vm,"('m', 'Ih')",Cm,iax
203,0.005050000000000038,1.0,-0.0007643277984901945,-56.646582560006394,2.2518421094141825e-06,0.013492919854088868,2.6632451294914693e-14
204,0.005075000000000039,1.0,-0.0007643965867092772,-56.65149439511789,2.263621467592352e-06,0.013492964216936017,2.6756197082704806e-14
205,0.0051000000000000385,1.0,-0.0007644653565173525,-56.656404915588276,2.2754066894049545e-06,0.01349300856022052,2.6879867825436182e-14
206,0.005125000000000039,1.0,-0.000764534107919346,-56.66131412176924,2.2871977732752135e-06,0.01349305288395372,2.7003463540251233e-14
207,0.00515000000000004,1.0,-0.0007646028409201817,-56.66622201401238,2.2989947176280653e-06,0.013493097188146957,2.712698424427382e-14
208,0.00517500000000004,1.0,-0.0007646715555247824,-56.671128592669234,2.310797520887762e-06,0.013493141472811563,2.7250429954607923e-14
209,0.0052000000000000405,1.0,-0.0007647402517380697,-56.676033858091216,2.322606181477867e-06,0.013493185737958857,2.7373800688341316e-14
210,0.00522500000000004,1.0,-0.0007648089295649638,-56.68093781062964,2.3344206978248594e-06,0.013493229983600159,2.749709646254449e-14
211,0.005250000000000041,1.0,-0.0007648775890103835,-56.685840450635766,2.346241068353328e-06,0.013493274209746765,2.7620317294273204e-14
212,0.005275000000000041,1.0,-0.0007649462300792464,-56.690741778460705,2.35806729149078e-06,0.013493318416409978,2.7743463200568575e-14
213,0.005300000000000042,1.0,-0.0007650148527764685,-56.69564179445551,2.3698993656628313e-06,0.013493362603601082,2.7866534198458106e-14
214,0.005325000000000042,1.0,-0.0007650834571069651,-56.70054049897114,2.3817372892956078e-06,0.01349340677133136,2.798953030495728e-14
215,0.005350000000000042,1.0,-0.0007651520430756497,-56.70543789235844,2.3935810608169533e-06,0.01349345091961208,2.811245153706907e-14
216,0.005375000000000043,1.0,-0.0007652206106874344,-56.71033397496818,2.4054306786552253e-06,0.013493495048454505,2.823529791178705e-14
217,0.005400000000000043,1.0,-0.0007652891599472301,-56.71522874715103,2.417286141238089e-06,0.013493539157869883,2.8358069446094962e-14
218,0.0054250000000000435,1.0,-0.0007653576908599468,-56.72012220925755,2.429147446994928e-06,0.01349358324786947,2.848076615696654e-14
219,0.005450000000000044,1.0,-0.0007654262034304928,-56.725014361638245,2.4410145943532244e-06,0.013493627318464497,2.860338806136857e-14
220,0.005475000000000044,1.0,-0.0007654946976637748,-56.72990520464349,2.4528875817433875e-06,0.013493671369666189,2.8725935176260866e-14
221,0.005500000000000045,1.0,-0.0007655631735646988,-56.73479473862358,2.4647664075951316e-06,0.01349371540148577,2.884840751859521e-14
222,0.005525000000000045,1.0,-0.0007656316311381692,-56.73968296392871,2.476651070338683e-06,0.013493759413934452,2.897080510531904e-14
223,0.005550000000000045,1.0,-0.000765700070389089,-56.744569880909,2.48854156840478e-06,0.013493803407023431,2.9093127953374475e-14
224,0.005575000000000045,1.0,-0.00076576849132236,-56.74945548991444,2.5004379002246743e-06,0.013493847380763908,2.9215376079700025e-14
225,0.005600000000000046,1.0,-0.0007658368939428826,-56.75433979129497,2.5123400642301284e-06,0.013493891335167067,2.9337549501229664e-14
