,t,stimstate,Qm,Vm,"('m', 'NapEt2')","('h', 'NapEt2')","('m', 'NaTat')","('h', 'NaTat')","('m', 'KPst')","('h', 'KPst')","('m', 'KTst')","('h', 'KTst')","('m', 'SKv31')",Cm,iax
227,0.0056500000000000465,1.0,-0.00011102997113986427,-33.98127395330801,0.014410840223738496,2.307118552595173e-07,0.014410840223738496,4.2976311288282575e-05,0.00029673187203911876,1.634990712438314e-06,0.009396474862041504,3.6625602572193994e-05,3.386389655726379e-05,0.003267386952367503,1153935.8138756682
228,0.005675000000000047,1.0,-0.00016032504002193808,-16.75639907798261,0.014509843071048243,2.310920898519689e-07,0.014509843071048243,4.2983173005306246e-05,0.00029908314013424867,1.637161316984135e-06,0.009460001561368019,3.666390771128242e-05,3.414664780074477e-05,0.009567988878505539,643852.9525208776
229,0.005700000000000047,1.0,-0.00014134772374192173,-24.185808072050435,0.01458209548807893,2.3183876770182063e-07,0.01458209548807893,4.301337556910865e-05,0.00030059190850152765,1.641118283242315e-06,0.00950627148741959,3.675728497950737e-05,3.431537541413657e-05,0.00584424234744779,860940.7045001572
230,0.005725000000000048,1.0,-0.00021530870132532604,-21.326784933000233,0.014663982125468853,2.3243291049014416e-07,0.014663982125468853,4.303078723801037e-05,0.0003023787595333029,1.644251896409242e-06,0.00955853315467294,3.6824138922448616e-05,3.452027856272031e-05,0.01009569431124922,775987.7127548637
231,0.0057500000000000485,1.0,-0.00011762331106605307,-32.4593424382074,0.014713952273899301,2.336713935964922e-07,0.014713952273899301,4.3168197275396584e-05,0.0003033174731939145,1.6521379667873215e-06,0.009591270015320378,3.702871188882611e-05,3.4619208728428627e-05,0.003623712072725184,1106187.3590454767
232,0.005775000000000048,1.0,-0.00018909398582491206,-17.750601745508842,0.014809058305502611,2.340945899715574e-07,0.014809058305502611,4.317667400724567e-05,0.0003055324917690352,1.6544886989488515e-06,0.00965214576526688,3.707202808443725e-05,3.488261378971802e-05,0.010652821157049255,671652.3570388432
233,0.005800000000000049,1.0,-0.0001610197860981337,-28.516772153811395,0.014868574770992354,2.3509141183412068e-07,0.014868574770992354,4.324457976459446e-05,0.00030670678428126744,1.6601601687136855e-06,0.00969067559632657,3.721937477819076e-05,3.500963533515324e-05,0.005646494113346299,988883.1619355149
234,0.005825000000000049,1.0,-0.00023557758875098096,-24.290430599214535,0.014940472084713616,2.358439724236591e-07,0.014940472084713616,4.327546463821094e-05,0.0003082066749336539,1.6641534095198192e-06,0.009736715042966717,3.731392466138621e-05,3.517723503937729e-05,0.009698370219859285,863969.8598614874
235,0.00585000000000005,1.0,-0.00014947275010289554,-35.504888640427545,0.014984204988414438,2.372757414270403e-07,0.014984204988414438,4.350432393625729e-05,0.0003089968103530204,1.6742740795448756e-06,0.009765595870980663,3.756173744092252e-05,3.525906584257241e-05,0.0042099202624367275,1197443.883732806
236,0.0058750000000000495,1.0,-0.00020884672913230426,-22.551052934292617,0.015061813109054504,2.3793368648822234e-07,0.015061813109054504,4.3526368335973914e-05,0.00031065802020125544,1.6777345374441403e-06,0.009815156079307772,3.763899270002013e-05,3.544744875444656e-05,0.009261063318897991,813816.9506773971
237,0.00590000000000005,1.0,-0.00013605482407588252,-31.48789255894157,0.0151139279953423,2.3911155624180023e-07,0.0151139279953423,4.3641910730219976e-05,0.00031164933764700524,1.6850017389677295e-06,0.009849189186378011,3.782933514194365e-05,3.5552537290411694e-05,0.004320861544519188,1078041.8145068188
