,t,stimstate,Qm,Vm,Cm,iax
255,0.006350000000000057,1.0,-0.0005736379523530487,-42.892326077003965,0.013373906356190731,122926.55785510437
256,0.006375000000000057,1.0,-0.000573218313179515,-42.85959992636201,0.013374327202409112,122827.11394362555
257,0.0064000000000000576,1.0,-0.0005727299271493853,-42.82889685024468,0.013372511768210842,122738.57266910173
258,0.006425000000000057,1.0,-0.0005722652036565942,-42.793163881533886,0.013372818266974135,122627.7496175254
259,0.006450000000000058,1.0,-0.000571805727908884,-42.75916219229091,0.013372706540353482,122528.29945710569
260,0.006475000000000058,1.0,-0.0005713949012258039,-42.72554445651756,0.013373613104154148,122429.17740607617
261,0.006500000000000059,1.0,-0.0005709435560316223,-42.69548614996,0.013372457079567818,122344.17355119047
262,0.006525000000000059,1.0,-0.0005705258746972403,-42.66246328954531,0.01337301765313329,122243.97622907303
263,0.006550000000000059,1.0,-0.0005700842191587643,-42.63190345955059,0.013372244091790638,122156.26866694438
264,0.00657500000000006,1.0,-0.0005696783164442401,-42.599589546859185,0.013372859281134594,122059.28880591241
265,0.00660000000000006,1.0,-0.0005692233167456614,-42.56986588467289,0.013371508340847462,121974.71132437617
266,0.0066250000000000605,1.0,-0.0005688165187909883,-42.53653940335669,0.013372421141201282,121873.08693959867
267,0.006650000000000061,1.0,-0.0005683603058052063,-42.50674346178083,0.013371062083742953,121788.86168348094
268,0.006675000000000061,1.0,-0.0005679323734576104,-42.4733281131677,0.013371506276701172,121686.90179665959
269,0.006700000000000062,1.0,-0.0005674934938826803,-42.44198418166334,0.01337104060577499,121596.39710208352
270,0.006725000000000062,1.0,-0.0005671068183237118,-42.40983841980973,0.013372057981216334,121500.97673851324
271,0.006750000000000062,1.0,-0.0005666794543796248,-42.381516344362964,0.013370910322678842,121421.85243856162
272,0.006775000000000063,1.0,-0.0005662802256559921,-42.35021404560909,0.013371366318152163,121327.21482272833
273,0.006800000000000063,1.0,-0.0005658074937918895,-42.32097251283314,0.01336943506249337,121243.36150229373
274,0.006825000000000064,1.0,-0.0005653637403033113,-42.28634723794657,0.013369888326414014,121135.73400562484
275,0.0068500000000000635,1.0,-0.0005649241518653087,-42.25384448598366,0.013369769277508084,121041.3615680543
276,0.006875000000000064,1.0,-0.0005645333204487137,-42.22164680341007,0.013370708231189094,120946.67143787838
277,0.006900000000000064,1.0,-0.000564071116445052,-42.193020331912116,0.013368825270335637,120866.31202451969
278,0.006925000000000065,1.0,-0.000563642261760138,-42.15916617082053,0.013369388271968475,120761.41005980813
279,0.0069500000000000655,1.0,-0.000563212574824882,-42.12775468266174,0.013369157199746988,120670.82117456585
280,0.006975000000000065,1.0,-0.0005628283799325548,-42.096282236274725,0.013370025808301923,120578.10743622962
281,0.007000000000000066,1.0,-0.000562390984556787,-42.068141857410914,0.01336857202923294,120499.04058531954
282,0.007025000000000066,1.0,-0.0005619834551501886,-42.036104805817565,0.01336906589576333,120401.07570641083
283,0.007050000000000067,1.0,-0.0005615533522564418,-42.006255288999796,0.013368326893054332,120315.23145556392
284,0.007075000000000067,1.0,-0.00056116431977758,-41.974752375707155,0.013369091847278015,120220.85434499751
285,0.007100000000000067,1.0,-0.0005607108593739739,-41.94625766751573,0.013367363158315857,120140.16018817302
